259,1901,55,"Foord, A. H.","The Carboniferous Cephalopoda of Ireland",4,"pp 127-146, pls 33-39","Cephalopods",11,10,8,,,10,,
261,1901,55,"Traquair, R. H.","Ganoid Fishes of British Carboniferous Formations, Part I, Palaeoniscidae, No.2",2,"pp 61-87, pls 8-18","fishes",17,15,12,,,11,,
264,1902,56,"Woods, H.","The Cretaceous Lamellibranchia. Vol. 1",4,"pp 145-196, pls 27-38","Bivalves",8.4,8,7,,,,,3
265,1902,56,"Elles and Wood","British graptolites. ","1(2)","pp I-xxviii, 55-102, pls 5-13","Graptolites",,8,7,,,,,1
267,1903,57,"Woods, H.","The Cretaceous Lamellibranchia. Vol. 1",5,"pp I-xliii, 197-232, pls 39-42","Bivalves",7.5,7,6,,,,,3
268,1903,57,"Hind, W.","The Carboniferous Lamellibranchia. Volume 2",2,"pp 35-124, pls 7-21","Bivalves",20,20,16,,,13,,6
269,1903,57,"Foord, A. H.","The Carboniferous Cephalopoda of Ireland",5,"pp 147-234. Pls 40-49","Cephalopods",17,15,12,,,42,,7
270,1903,57,"Cowper Reed, F. R.","The Lower Palaeozoic trilobites of Girvan",1,"pp 1-48, pls 1-6","Trilobites",17,15,13,,,,,4
272,1904,58,"Traquair, R. H.","The fishes of the Old Red Sandstone, Part II",2,"pp 91-118, pls 19-26","fishes",14,14,12,,,36,,
273,1904,58,"Woods, H.","The Cretaceous Lamellibranchia. Vol. 2",1,"pp 1-56, pls 1-7","Bivalves",10,10,8,,,,,5
274,1904,58,"Hind, W.","The Carboniferous Lamellibranchia. Volume 2",3,"pp 125-216, pls 22-25","Bivalves",11,10,8,,,31,,
275,1904,58,"Buckman, S. S.","The Inferior Oolite ammonites",12,"pp 65-168, pls 15-19","Ammonites",14,14,12,,,13,,
278,1905,59,"Spencer, W. K.","The fossil Echinodermata, Cretaceous, volume 2",3,"pp 67-90, pls 17-26","Echinoderms",14,14,12,,,40,,
280,1905,59,"Hind, W.","The Carboniferous Lamellibranchia. Volume 2",,"Title page and index","Bivalves",3,1,1,,,30,,
281,1905,59,"Buckman, S. S.","The Inferior Oolite ammonites",13,"pp 169-208, pls 20-24","Ammonites",11,10,8,,,21,,
283,1906,60,"Reynolds, S. H.","The Pleistocene bears",,"pp 1-35, pls 1-8","Mammals",,12,10,,,2,,
284,1906,60,"Traquair, R. H.","The fishes of the Old Red Sandstone, Part II",3,"pp 119-130, pls 27-31","fishes",9,9,7,,,47,,
286,1906,60,"Cowper Reed, F. R.","The Lower Palaeozoic trilobites of Girvan",3,"pp 97-186, pls 14-20, title plage and index","Trilobites",14,14,12,,,8,,
287,1906,60,"Lake, P.","The Cambrian Trilobites",1,"pp 1-28, pls 1, 2","Trilobites",7.5,7,6,,,,,1
288,1906,60,"Elles and Wood","British graptolites.",5,"pp lxxiii-xcvi, 181-216, pls 26-27","Graptolites",,5,4,,,,,1
289,1907,61,"Mial, L. C.","The sirenoid ganoids",2,"pp 33-34, Title page, preface and postscript","fishes",3,1,1,,,51,,
290,1907,61,"Traquair, R. H.","Ganoid Fishes of British Carboniferous Formations, Part I, Palaeoniscidae",3,"pp 87-106, pls 19-23","fishes",11,10,8,,,55,,
292,1907,61,"Buckman, S. S.","The Inferior Oolite ammonites",14,"pp 209-257, Title page, preface and index","Ammonites",6,6,5,,,21,,
294,1907,61,"Spencer, W. K.","The fossil Echinodermata, Cretaceous, volume 2",4,"pp 91-132, pls 27-29","Echinoderms",6,6,5,,,40,,
296,1907,61,"Lake, P.","The Cambrian Trilobites",2,"pp 29-48, pls 3, 4","Trilobites",7.5,7,6,,,,,4
298,,61,"Whidborne, G. F.","The Devonian fauna of the South of England volume 2, part 5, and volume 3, part4",5,"pp 213-222, 237-247, title pages and indices",,3,1,1,,,43,,
300,1908,62,"Smith Woodward, A.","The fishes of the English Chalk",4,"pp129-152, pls 27-32","fishes",14,14,12,,,10,,
